'BD16v1Kernel.qec_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v2Kernel.qec_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v3aKernel.qec_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v3bKernel.qec_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v3cKernel.qec_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v4Kernel.qec_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v5Kernel.qec_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v6aKernel.qec_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v7Kernel.qec_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v8Kernel.qec_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v9Kernel.qec_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v10Kernel.qec_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v1Kernel.isDistance3_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v2Kernel.isDistance3_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v3aKernel.isDistance3_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v3bKernel.isDistance3_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v3cKernel.isDistance3_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v4Kernel.isDistance3_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v5Kernel.isDistance3_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v6aKernel.isDistance3_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v7Kernel.isDistance3_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v8Kernel.isDistance3_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v9Kernel.isDistance3_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'BD16v10Kernel.isDistance3_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'Ex642ControlledPhase.hasDistance_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'Ex642ControlledPhase.detects_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'Ex642ControlledPhase.normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Examples.D3.NoGo.BD16_1112226.no_KL_state' depends on axioms: [propext, Classical.choice, Quot.sound]
'Examples.D3.NoGo.BD16_0112335.no_KL_state' depends on axioms: [propext, Classical.choice, Quot.sound]
'SS.FamilyI.familyI_OK' depends on axioms: [propext, Classical.choice, Quot.sound]
'SS.FamilyII.detects' depends on axioms: [propext, Classical.choice, Quot.sound]
