n,m,K,a,s_list,sizes,order,lambda_star,lambda_star_sq,A_float,B_float,A_fraction,B_fraction
4,4,2,1 1 1 1,0 2,2 6,2,0 0 0 0,0 0 0 0,1 0 2 0 5,1 0 10 8 13,1 0 2 0 5,1 0 10 8 13
5,4,2,1 1 1 1 1,0 2,6 10,2,0 1 0 0 0,0 1 0 0 0,1 1 2 2 5 5,1 1 10 18 21 13,1 1 2 2 5 5,1 1 10 18 21 13
5,4,2,1 3 3 3 3,0 2,6 10,2,0.5 -5.55111512313e-17 -5.55111512313e-17 -5.55111512313e-17 -0.5,0.25 3.08148791102e-33 3.08148791102e-33 3.08148791102e-33 0.25,1 0.5 1.5 2.5 5.5 5,1 0.5 8 17 23 14.5,1 1/2 3/2 5/2 11/2 5,1 1/2 8 17 23 29/2
5,5,2,1 1 1 1 1,0 2,2 10,5,0.2 0.2 0.2 0.2 0.2,0.04 0.04 0.04 0.04 0.04,1 0.2 2.56 1.44 4.44 6.36,1 0.2 9.52 13.68 21.48 18.12,1 1/5 64/25 36/25 111/25 159/25,1 1/5 238/25 342/25 21479999999957/999999999998 453/25
5,5,2,1 1 1 1 1,0 3,2 10,5,-0.2 -0.2 -0.2 -0.2 -0.2,0.04 0.04 0.04 0.04 0.04,1 0.2 2.56 1.44 4.44 6.36,1 0.2 9.52 13.68 21.48 18.12,1 1/5 64/25 36/25 111/25 159/25,1 1/5 238/25 342/25 537/25 453/25
5,5,2,1 1 1 4 4,0 3,10 2,5,0.2 0.2 0.2 -0.2 -0.2,0.04 0.04 0.04 0.04 0.04,1 0.2 2.4 1.6 4.6 6.2,1 0.2 9.2 14 21.8 17.8,1 1/5 12/5 8/5 23/5 31/5,1 1/5 46/5 14 109/5 89/5
5,6,2,1 1 1 1 2,0 3,2 8,2,0 0 0 0 0,0 0 0 0 0,1 0 4 0 3 8,1 0 12 10 19 22,1 0 4 0 3 8,1 0 12 10 19 22
5,6,2,1 1 1 1 3,0 4,5 5,3,0.333333333333 0.333333333333 -0.333333333333 -0.333333333333 -0.333333333333,0.111111111111 0.111111111111 0.111111111111 0.111111111111 0.111111111111,1 0.555555555556 1.55555555556 2.44444444444 5.44444444444 5,1 0.555555555556 8.22222222222 17.1111111111 22.7777777778 14.3333333333,1 5/9 14/9 22/9 49/9 5,1 5/9 74/9 154/9 22777777777641/999999999994 43/3
5,6,2,1 1 1 3 3,0 4,4 6,3,0.333333333333 0.333333333333 0.333333333333 0.333333333333 -0.333333333333,0.111111111111 0.111111111111 0.111111111111 0.111111111111 0.111111111111,1 0.555555555556 1.55555555556 2.44444444444 5.44444444444 5,1 0.555555555556 8.22222222222 17.1111111111 22.7777777778 14.3333333333,1 5/9 14/9 22/9 49/9 5,1 5/9 74/9 154/9 205/9 43/3
5,6,2,2 2 2 3 3,0 1,4 6,6,-0.333333333333 -0.333333333333 -0.333333333333 5.55111512313e-17 5.55111512313e-17,0.111111111111 0.111111111111 0.111111111111 3.08148791102e-33 3.08148791102e-33,1 0.333333333333 1.88888888889 2.11111111111 5.11111111111 5.55555555556,1 0.333333333333 8.44444444444 15.5555555556 22.5555555556 16.1111111111,1 1/3 17/9 19/9 46/9 50/9,1 1/3 76/9 140/9 203/9 145/9
5,7,2,1 1 1 2 2,0 3,2 7,7,0.142857142857 0.142857142857 0.142857142857 0.142857142857 0.142857142857,0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653,1 0.102040816327 2.20408163265 1.79591836735 4.79591836735 6.10204081633,1 0.102040816327 8.61224489796 14 22.387755102 17.8979591837,1 5/49 108/49 88/49 235/49 299/49,1 5/49 422/49 14 13101024628103/585187061784 877/49
5,7,2,1 1 1 2 2,0 4,2 7,7,-0.142857142857 -0.142857142857 -0.142857142857 -0.142857142857 -0.142857142857,0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653,1 0.102040816327 2.20408163265 1.79591836735 4.79591836735 6.10204081633,1 0.102040816327 8.61224489796 14 22.387755102 17.8979591837,1 5/49 108/49 88/49 235/49 299/49,1 5/49 422/49 14 22387755101302/999999999967 877/49
5,7,2,1 1 1 3 4,0 5,3 6,7,0.142857142857 0.142857142857 0.142857142857 0.428571428571 -0.428571428571,0.0204081632653 0.0204081632653 0.0204081632653 0.183673469388 0.183673469388,1 0.428571428571 1.63265306122 2.36734693878 5.36734693878 5.20408163265,1 0.428571428571 8.12244897959 16.4489795918 22.8775510204 15.1224489796,1 3/7 80/49 116/49 263/49 255/49,1 3/7 398/49 806/49 22877551020248/999999999993 741/49
5,7,2,1 1 1 4 4,0 2,3 6,7,-0.142857142857 -0.142857142857 -0.142857142857 0.428571428571 0.428571428571,0.0204081632653 0.0204081632653 0.0204081632653 0.183673469388 0.183673469388,1 0.428571428571 1.63265306122 2.36734693878 5.36734693878 5.20408163265,1 0.428571428571 8.12244897959 16.4489795918 22.8775510204 15.1224489796,1 3/7 80/49 116/49 263/49 255/49,1 3/7 398/49 10817701278913/657651814723 21322709075076/932036346725 14883185224748/984178240233
5,7,2,1 1 2 2 2,0 4,3 6,7,0.428571428571 0.428571428571 -0.142857142857 -0.142857142857 -0.142857142857,0.183673469388 0.183673469388 0.0204081632653 0.0204081632653 0.0204081632653,1 0.428571428571 1.63265306122 2.36734693878 5.36734693878 5.20408163265,1 0.428571428571 8.12244897959 16.4489795918 22.8775510204 15.1224489796,1 3/7 80/49 116/49 263/49 255/49,1 3/7 398/49 806/49 1121/49 741/49
5,7,2,1 1 2 5 5,0 3,6 3,7,0.428571428571 0.428571428571 -0.142857142857 0.142857142857 0.142857142857,0.183673469388 0.183673469388 0.0204081632653 0.0204081632653 0.0204081632653,1 0.428571428571 1.63265306122 2.36734693878 5.36734693878 5.20408163265,1 0.428571428571 8.12244897959 16.4489795918 22.8775510204 15.1224489796,1 3/7 80/49 116/49 263/49 255/49,1 3/7 398/49 806/49 22515587904106/984178240233 741/49
5,7,2,1 1 2 5 6,0 4,7 2,7,0.142857142857 0.142857142857 0.142857142857 -0.142857142857 -0.142857142857,0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653,1 0.102040816327 2.20408163265 1.79591836735 4.79591836735 6.10204081633,1 0.102040816327 8.61224489796 14 22.387755102 17.8979591837,1 5/49 108/49 88/49 235/49 299/49,1 5/49 422/49 14 18867044448764/842739451221 17897959183226/999999999975
5,7,2,1 1 3 3 3,0 2,7 2,7,0.142857142857 0.142857142857 -0.142857142857 -0.142857142857 -0.142857142857,0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653 0.0204081632653,1 0.102040816327 2.20408163265 1.79591836735 4.79591836735 6.10204081633,1 0.102040816327 8.61224489796 14 22.387755102 17.8979591837,1 5/49 108/49 88/49 235/49 299/49,1 5/49 422/49 14 18867044448764/842739451221 877/49
5,7,2,1 1 3 3 6,0 2,6 3,7,0.142857142857 0.142857142857 0.428571428571 0.428571428571 -0.142857142857,0.0204081632653 0.0204081632653 0.183673469388 0.183673469388 0.0204081632653,1 0.428571428571 1.63265306122 2.36734693878 5.36734693878 5.20408163265,1 0.428571428571 8.12244897959 16.4489795918 22.8775510204 15.1224489796,1 3/7 80/49 116/49 263/49 255/49,1 3/7 398/49 16448979591113/999999999956 22877551019882/999999999977 741/49
