'Catalogue.Chunk002.code_1000_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1001_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1002_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1003_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1004_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1005_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1006_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1007_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1008_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1009_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1010_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1011_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1012_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1013_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1014_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1015_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1016_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1017_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1018_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1019_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1020_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1021_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1022_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1023_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk002.code_1024_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
